iter	Passed	Remaining
634	1285	738
635	1286	736
636	1287	733
637	1290	732
638	1292	729
639	1293	727
640	1294	724
641	1295	722
642	1296	720
643	1298	717
644	1299	715
645	1300	712
646	1301	709
647	1302	707
648	1303	704
649	1305	702
650	1306	700
651	1307	697
652	1308	695
653	1309	692
654	1310	690
655	1312	688
656	1313	685
657	1314	683
658	1315	680
659	1316	678
660	1318	675
661	1322	675
662	1323	672
663	1325	670
664	1330	670
665	1331	667
666	1333	665
667	1335	663
668	1337	661
669	1338	659
670	1339	656
671	1340	654
672	1343	652
673	1344	650
674	1346	648
675	1347	645
676	1349	643
677	1350	641
678	1351	638
679	1352	636
680	1353	634
681	1354	631
682	1355	629
683	1360	628
684	1361	626
685	1363	623
686	1365	622
687	1367	619
688	1368	617
689	1369	615
690	1370	612
691	1371	610
692	1373	608
693	1374	606
694	1375	603
695	1377	601
696	1377	599
697	1378	596
698	1382	595
699	1383	592
700	1384	590
701	1385	588
702	1389	586
703	1390	584
704	1391	582
705	1392	579
706	1393	577
707	1394	575
708	1396	573
709	1397	570
710	1398	568
711	1399	566
712	1400	563
713	1402	561
714	1403	559
715	1405	557
716	1406	555
717	1407	552
718	1408	550
719	1409	548
720	1410	545
721	1411	543
722	1412	541
723	1413	538
724	1414	536
725	1415	534
726	1419	533
727	1421	531
728	1422	528
729	1423	526
730	1425	524
731	1426	522
732	1427	519
733	1428	517
734	1429	515
735	1430	513
736	1433	511
737	1434	509
738	1435	507
739	1437	504
740	1437	502
741	1438	500
742	1441	498
743	1442	496
744	1443	494
745	1444	491
746	1445	489
747	1447	487
748	1448	485
749	1449	483
750	1450	480
751	1451	478
752	1452	476
753	1453	474
754	1454	472
755	1457	470
756	1458	468
757	1459	466
758	1460	463
759	1461	461
760	1464	459
761	1465	457
762	1466	455
763	1467	453
764	1468	451
765	1469	448
766	1470	446
767	1471	444
768	1472	442
769	1473	440
770	1474	438
771	1475	435
772	1476	433
773	1478	431
774	1478	429
775	1480	427
776	1481	425
777	1481	422
778	1483	420
779	1484	418
780	1486	416
781	1487	414
782	1488	412
783	1489	410
784	1490	408
785	1491	406
786	1492	403
787	1493	401
788	1494	399
789	1495	397
790	1498	396
791	1500	393
792	1501	391
793	1501	389
794	1502	387
795	1503	385
796	1504	383
797	1505	381
798	1507	379
799	1508	377
800	1509	375
801	1510	372
802	1511	370
803	1512	368
804	1516	367
805	1517	365
806	1518	363
807	1518	360
808	1519	358
809	1521	356
810	1522	354
811	1524	352
812	1525	350
813	1526	348
814	1527	346
815	1528	344
816	1529	342
817	1530	340
818	1535	339
819	1537	337
820	1538	335
821	1539	333
822	1539	331
823	1541	329
824	1541	327
825	1542	325
826	1544	323
827	1545	321
828	1547	319
829	1548	317
830	1549	315
831	1550	313
832	1554	311
833	1555	309
834	1556	307
835	1557	305
836	1559	303
837	1560	301
838	1561	299
839	1562	297
840	1563	295
841	1564	293
842	1567	291
843	1568	289
844	1569	287
845	1570	285
846	1571	283
847	1572	281
848	1575	280
849	1576	278
850	1577	276
851	1578	274
852	1579	272
853	1581	270
854	1582	268
855	1583	266
856	1585	264
857	1586	262
858	1587	260
859	1590	258
860	1591	256
861	1592	254
862	1593	253
863	1594	251
864	1598	249
865	1599	247
866	1600	245
867	1602	243
868	1603	241
869	1604	239
870	1605	237
871	1606	235
872	1607	233
873	1609	232
874	1610	230
875	1611	228
876	1614	226
877	1615	224
878	1616	222
879	1617	220
880	1619	218
881	1620	216
882	1621	214
883	1623	212
884	1624	211
885	1627	209
886	1628	207
887	1628	205
888	1629	203
889	1630	201
890	1631	199
891	1633	197
892	1634	195
893	1636	194
894	1638	192
895	1641	190
896	1643	188
897	1644	186
898	1645	184
899	1646	182
900	1648	181
901	1649	179
902	1651	177
903	1652	175
904	1653	173
905	1654	171
906	1659	170
907	1660	168
908	1661	166
909	1662	164
910	1663	162
911	1665	160
912	1666	158
913	1667	156
914	1669	155
915	1670	153
916	1671	151
917	1673	149
918	1674	147
919	1679	146
920	1680	144
921	1682	142
922	1684	140
923	1685	138
924	1686	136
925	1687	134
926	1688	132
927	1694	131
928	1695	129
929	1696	127
930	1697	125
931	1699	124
932	1701	122
933	1702	120
934	1703	118
935	1704	116
936	1706	114
937	1708	112
938	1709	111
939	1711	109
940	1712	107
941	1717	105
942	1718	103
943	1719	102
944	1725	100
945	1726	98
946	1727	96
947	1730	94
948	1732	93
949	1733	91
950	1734	89
951	1735	87
952	1737	85
953	1738	83
954	1739	81
955	1740	80
956	1741	78
957	1746	76
958	1747	74
959	1748	72
960	1749	71
961	1752	69
962	1753	67
963	1754	65
964	1755	63
965	1756	61
966	1759	60
967	1760	58
968	1761	56
